song_name,song_position,artist_name,playlist_year,danceability,valence,speechiness
Faster,61,Matt Nathanson,Top Songs 2018,0.742,0.95,0.0393
Heaven In Our Headlights,62,Hedley,Top Songs 2018,0.517,0.473,0.0575
My Heart Is Open,63,Maroon 5,Top Songs 2018,0.41,0.283,0.0301
Life Of The Party,64,Shawn Mendes,Top Songs 2018,0.666,0.161,0.0314
The Only Exception,65,Paramore,Top Songs 2018,0.452,0.209,0.0272
No Air (feat. Chris Brown) - Acoustic Version,66,Jordin Sparks,Top Songs 2018,0.427,0.353,0.0321
Bacon,67,Nick Jonas,Top Songs 2018,0.709,0.755,0.0799
Tell Her You Love Her,68,Echosmith,Top Songs 2018,0.637,0.176,0.0352
Stone,69,Alessia Cara,Top Songs 2018,0.771,0.337,0.0324
Con te partirò,70,Andrea Bocelli,Top Songs 2018,0.249,0.247,0.0307
Polaroid,71,Imagine Dragons,Top Songs 2018,0.424,0.258,0.0495
Everybody,72,Logic,Top Songs 2018,0.885,0.773,0.0913
Digital Love (feat. Hailee Steinfeld),73,Digital Farm Animals,Top Songs 2018,0.701,0.514,0.0512
Coming Back For You,74,Maroon 5,Top Songs 2018,0.644,0.39,0.0341
Supercut,75,Lorde,Top Songs 2018,0.562,0.15,0.052
This Feeling (feat. Kelsea Ballerini),76,The Chainsmokers,Top Songs 2018,0.539,0.474,0.0432
Que te vaya bonito,77,Luis Miguel,Top Songs 2018,0.361,0.616,0.0355
Love on Me,78,Galantis,Top Songs 2018,0.562,0.674,0.0758
Nothing to Regret,79,Robinson,Top Songs 2018,0.697,0.331,0.031
Stay,80,Zedd,Top Songs 2018,0.69,0.544,0.0622
Psycho (feat. Ty Dolla $ign),81,Post Malone,Top Songs 2018,0.74,0.421,0.102
Do Like That,82,Korede Bello,Top Songs 2018,0.835,0.659,0.426
Caperucita Roja,83,Rodrigo Septién,Top Songs 2018,0.889,0.806,0.342
Gorilla,84,Bruno Mars,Top Songs 2018,0.717,0.641,0.0371
Un Beso de Desayuno,85,Calle 13,Top Songs 2018,0.664,0.763,0.117
Mobile,86,Avril Lavigne,Top Songs 2018,0.593,0.634,0.0298
Liability,87,Lorde,Top Songs 2018,0.587,0.379,0.128
Qué bonita es mi tierra,88,Luis Miguel,Top Songs 2018,0.25,0.534,0.0362
"Let Me Go (with Alesso, Florida Georgia Line & watt)",89,Hailee Steinfeld,Top Songs 2018,0.664,0.742,0.0474
Body on Me (feat. Chris Brown),90,Rita Ora,Top Songs 2018,0.636,0.53,0.041
Here,91,Alessia Cara,Top Songs 2018,0.376,0.331,0.104
Let Me Love You (Until You Learn To Love Yourself) (Glee Cast Version),92,Glee Cast,Top Songs 2018,0.406,0.447,0.035
Silence,93,Marshmello,Top Songs 2018,0.52,0.286,0.0853
On My Way,94,The Baseballs,Top Songs 2018,0.537,0.567,0.0453
Burning Love,95,Elvis Presley,Top Songs 2018,0.668,0.969,0.0283
A Sky Full of Stars,96,Coldplay,Top Songs 2018,0.545,0.162,0.0279
Like A Champion,97,Selena Gomez,Top Songs 2018,0.705,0.935,0.118
Homemade Dynamite,98,Lorde,Top Songs 2018,0.771,0.268,0.0577
Serenata huasteca,99,Luis Miguel,Top Songs 2018,0.612,0.723,0.0343
El Aguante,100,Calle 13,Top Songs 2018,0.664,0.814,0.281
Madness,1,Ruelle,Top Songs 2019,0.509,0.421,0.0433
Who Do You Love,2,The Chainsmokers,Top Songs 2019,0.51,0.435,0.0447
Sucker,3,Jonas Brothers,Top Songs 2019,0.842,0.952,0.0588
Teeth,4,5 Seconds of Summer,Top Songs 2019,0.749,0.42,0.0416
Do My Thang,5,Miley Cyrus,Top Songs 2019,0.76,0.314,0.0444
South of the Border (feat. Camila Cabello & Cardi B),6,Ed Sheeran,Top Songs 2019,0.857,0.668,0.0825
How Can I Forget,7,MKTO,Top Songs 2019,0.796,0.754,0.0558
Con Todos Menos Conmigo,8,Timbiriche,Top Songs 2019,0.731,0.789,0.0385
All I Am,9,Jess Glynne,Top Songs 2019,0.755,0.498,0.0339
I'll Be There,10,Jess Glynne,Top Songs 2019,0.627,0.399,0.0394
Kiss and Make Up,11,Dua Lipa,Top Songs 2019,0.678,0.643,0.137
A Little More,12,Alessia Cara,Top Songs 2019,0.478,0.23,0.0364
Vaina Loca,13,Ozuna,Top Songs 2019,0.754,0.555,0.0752
Dangerous Woman,14,Ariana Grande,Top Songs 2019,0.664,0.289,0.0412
What's Up Danger (with Black Caviar),15,Blackway,Top Songs 2019,0.701,0.116,0.0417
Polaroid,16,Jonas Blue,Top Songs 2019,0.652,0.475,0.036
Out Of Love,17,Alessia Cara,Top Songs 2019,0.481,0.137,0.0339
Querer Mejor,18,Juanes,Top Songs 2019,0.781,0.615,0.134
Happy Now,19,Kygo,Top Songs 2019,0.693,0.492,0.0801
Youngblood,20,5 Seconds of Summer,Top Songs 2019,0.596,0.152,0.463
Old Town Road (feat. Billy Ray Cyrus) - Remix,21,Lil Nas X,Top Songs 2019,0.878,0.639,0.102
lovely (with Khalid),22,Billie Eilish,Top Songs 2019,0.351,0.12,0.0333
Cool,23,Jonas Brothers,Top Songs 2019,0.681,0.643,0.0458
Girl Next Door,24,Alessia Cara,Top Songs 2019,0.705,0.422,0.12
Hey Jude - Remastered 2015,25,The Beatles,Top Songs 2019,0.386,0.532,0.0261
Bones (feat. OneRepublic),26,Galantis,Top Songs 2019,0.658,0.508,0.0377
Formation,27,Beyoncé,Top Songs 2019,0.896,0.818,0.237
Ruin My Life,28,Zara Larsson,Top Songs 2019,0.665,0.585,0.0578
Thursday,29,Jess Glynne,Top Songs 2019,0.82,0.309,0.0454
Walk Me Home,30,P!nk,Top Songs 2019,0.652,0.432,0.0445
Like I Love You,31,Lost Frequencies,Top Songs 2019,0.863,0.751,0.0847
Ready to Run,32,One Direction,Top Songs 2019,0.524,0.299,0.036
Oye 2014 (feat. Pitbull),33,Santana,Top Songs 2019,0.6,0.963,0.0462
Run Away With Me,34,Carly Rae Jepsen,Top Songs 2019,0.564,0.251,0.0475
London Bridge,35,Fergie,Top Songs 2019,0.769,0.633,0.357
Lost In Japan,36,Shawn Mendes,Top Songs 2019,0.713,0.425,0.374
Freedom,37,Pharrell Williams,Top Songs 2019,0.428,0.607,0.067
Body Talks (feat. Kesha),38,The Struts,Top Songs 2019,0.537,0.843,0.274
La Vie En Rose,39,Cristin Milioti,Top Songs 2019,0.648,0.597,0.254
Be Mean,40,DNCE,Top Songs 2019,0.7,0.522,0.0707
Alibi,41,Bradley Cooper,Top Songs 2019,0.285,0.636,0.036
If I Can't Have You,42,Shawn Mendes,Top Songs 2019,0.692,0.864,0.0602
Want You Back,43,5 Seconds of Summer,Top Songs 2019,0.618,0.579,0.0439
Wherever I Live,44,Alessia Cara,Top Songs 2019,0.717,0.594,0.102
Rise,45,Jonas Blue,Top Songs 2019,0.69,0.669,0.032
